code,date,open,high,low,close,amount,volume
000300.SH,2021/2/2 9:35,5432.75,5436.93,5428.88,5435.81,27682.12,1337463600
000300.SH,2021/2/2 9:40,5434.84,5435.73,5426.08,5426.08,15626.25,719453100
000300.SH,2021/2/2 9:45,5425.66,5429.27,5415.15,5415.6,15615,747181700
000300.SH,2021/2/2 9:50,5414.21,5423.97,5411.52,5419.47,14108.11,715555500
000300.SH,2021/2/2 9:55,5419.68,5435.25,5419.68,5434.6,10906.79,541445600
000300.SH,2021/2/2 10:00,5434.93,5445.28,5430.27,5445.28,11591.24,582089300
000300.SH,2021/2/2 10:05,5446.09,5448.37,5442.63,5447.66,11826.13,562816200
000300.SH,2021/2/2 10:10,5447.99,5455.19,5444.49,5454.21,10202.24,423048100
000300.SH,2021/2/2 10:15,5454.29,5457.71,5453.12,5457.65,8200.51,348075400
000300.SH,2021/2/2 10:20,5457.67,5460.34,5447.45,5452.54,7801.2,317795200
000300.SH,2021/2/2 10:25,5452.54,5460.55,5452.16,5456.94,7773.03,292837400
000300.SH,2021/2/2 10:30,5456.54,5470.48,5455.74,5470.2,8348.9,341095800
000300.SH,2021/2/2 10:35,5470.6,5474.53,5465.14,5469.92,9002.79,332680700
000300.SH,2021/2/2 10:40,5469.36,5480.58,5468.95,5473.86,8290.34,280620200
000300.SH,2021/2/2 10:45,5472.73,5474.8,5467.72,5471.15,6844.88,252003000
000300.SH,2021/2/2 10:50,5471.44,5472.14,5466.13,5471.87,6097.08,254485000
000300.SH,2021/2/2 10:55,5472.88,5477.02,5470.01,5474.84,6207.4,248713800
000300.SH,2021/2/2 11:00,5474.26,5476.86,5468.34,5473.53,5926.64,234120600
000300.SH,2021/2/2 11:05,5473.38,5473.53,5457.69,5461.94,6407.01,239957700
000300.SH,2021/2/2 11:10,5461.74,5466.47,5461.31,5463.47,4794.43,193910000
000300.SH,2021/2/2 11:15,5463.63,5472.86,5463.63,5471.55,4634.55,182559900
000300.SH,2021/2/2 11:20,5471.31,5475.8,5470.16,5475.74,5099.11,195676900
000300.SH,2021/2/2 11:25,5476.04,5478.81,5474.65,5477.72,5024.73,186469600
000300.SH,2021/2/2 11:30,5477.49,5477.94,5474.22,5477.39,3757.26,136496600
000300.SH,2021/2/2 13:05,5478.18,5479.67,5467.58,5474.79,9400.04,379163000
000300.SH,2021/2/2 13:10,5475.27,5485.05,5475.27,5482.18,6251.37,242212100
000300.SH,2021/2/2 13:15,5482.6,5491.61,5482.6,5485.58,6681.1,263649100
000300.SH,2021/2/2 13:20,5485.11,5490.95,5482.95,5490,6121.35,245430900
000300.SH,2021/2/2 13:25,5490.28,5492.39,5483.9,5487.52,6090.01,251147200
000300.SH,2021/2/2 13:30,5487.06,5487.31,5481.72,5482.17,5299.63,207114300
000300.SH,2021/2/2 13:35,5482.25,5486.84,5481.35,5484.48,5776.06,234348600
000300.SH,2021/2/2 13:40,5484.42,5485.31,5473.91,5478.79,5985.08,253580100
000300.SH,2021/2/2 13:45,5478.26,5482.94,5477.17,5481.09,5463.2,246151600
000300.SH,2021/2/2 13:50,5481.07,5485.82,5478.79,5480.13,5630,254202000
000300.SH,2021/2/2 13:55,5480.36,5483.62,5478.16,5482.73,5386.65,237831300
000300.SH,2021/2/2 14:00,5482.63,5483.81,5478.11,5482.6,5662.46,374733500
000300.SH,2021/2/2 14:05,5482.41,5482.41,5478.27,5479.07,5368.44,282777300
000300.SH,2021/2/2 14:10,5479.21,5486.73,5478.96,5486.73,5485.6,232750300
000300.SH,2021/2/2 14:15,5486.83,5492.76,5485.19,5489.03,7395.73,337151900
000300.SH,2021/2/2 14:20,5488.39,5494.13,5488.06,5494.13,6040.66,271521600
000300.SH,2021/2/2 14:25,5492.84,5495.01,5490.74,5492.63,6087.67,261876600
000300.SH,2021/2/2 14:30,5493.01,5493.01,5485.16,5486.37,6197.71,299271900
000300.SH,2021/2/2 14:35,5486.4,5491.62,5486.12,5488.8,5812.41,250797000
000300.SH,2021/2/2 14:40,5488.78,5496.99,5488.78,5491.93,7574.97,296313400
000300.SH,2021/2/2 14:45,5491.86,5495.46,5491.07,5494.75,7170.84,279129500
000300.SH,2021/2/2 14:50,5495.21,5501.66,5495.21,5498.81,8078.81,335547600
000300.SH,2021/2/2 14:55,5499.22,5501.54,5498.81,5501.45,9511.22,379389800
000300.SH,2021/2/2 15:00,5502.11,5503.21,5501.07,5501.09,6945.26,298154700
000300.SH,2021/2/3 9:35,5499.3,5500.62,5477.41,5482.99,36097.35,1447558600
000300.SH,2021/2/3 9:40,5483.72,5496.58,5483.72,5496.13,18466.64,767265100
000300.SH,2021/2/3 9:45,5496.97,5512.61,5496.97,5500.65,17173.3,728594500
000300.SH,2021/2/3 9:50,5501.38,5506.23,5495.66,5497.41,14544.35,612350700
000300.SH,2021/2/3 9:55,5497.79,5499.7,5491.06,5491.06,13339.93,575789500
000300.SH,2021/2/3 10:00,5491.25,5500.63,5483.04,5483.04,13211.52,518456000
000300.SH,2021/2/3 10:05,5482.43,5482.88,5473.12,5482.88,13504.47,562849000
000300.SH,2021/2/3 10:10,5482.64,5500.11,5477.81,5495.06,11274.14,541283800
000300.SH,2021/2/3 10:15,5495.12,5500.71,5493.65,5496.69,9324.85,505530500
000300.SH,2021/2/3 10:20,5496.75,5499.32,5493.3,5493.3,8080.15,351971800
000300.SH,2021/2/3 10:25,5492.73,5513.17,5492.19,5513.17,8533.13,354125000
000300.SH,2021/2/3 10:30,5513.18,5515.36,5504.6,5504.6,7798.28,349223300
000300.SH,2021/2/3 10:35,5504.69,5506.25,5500.18,5500.18,7830.93,380511800
000300.SH,2021/2/3 10:40,5500,5503.92,5496.54,5499.94,7073.42,320317000
000300.SH,2021/2/3 10:45,5500.23,5502.53,5492.81,5492.81,7230.63,346394100
000300.SH,2021/2/3 10:50,5492.83,5500.33,5491.37,5494.49,7764.45,413413900
000300.SH,2021/2/3 10:55,5493.98,5499.24,5492.38,5499.16,6469.93,391163400
000300.SH,2021/2/3 11:00,5498.92,5509.14,5496.04,5509.14,5773.8,290772100
000300.SH,2021/2/3 11:05,5509.15,5514.94,5508.36,5514.94,5019.82,236328600
000300.SH,2021/2/3 11:10,5514.6,5525.25,5514.6,5523.88,6093.57,269769200
000300.SH,2021/2/3 11:15,5524.06,5525.22,5519.33,5519.33,5298.86,236837200
000300.SH,2021/2/3 11:20,5519.38,5522.26,5516.77,5522.19,4951.34,237025300
000300.SH,2021/2/3 11:25,5522.6,5524.58,5516.32,5524.58,5450.63,299803800
000300.SH,2021/2/3 11:30,5524.45,5529.19,5524.45,5528.95,4288.05,270237500
000300.SH,2021/2/3 13:05,5529.54,5532.53,5520.31,5530.32,9166.79,601802000
000300.SH,2021/2/3 13:10,5530.32,5532.89,5526.57,5527.94,6048.28,298792600
000300.SH,2021/2/3 13:15,5527.97,5530.55,5519.06,5520.04,6027.5,305133500
000300.SH,2021/2/3 13:20,5519.82,5520.14,5513.6,5515.44,5761.61,288335000
000300.SH,2021/2/3 13:25,5515.51,5521.78,5512.95,5517.62,6621.04,312666100
000300.SH,2021/2/3 13:30,5517.86,5519.93,5508.76,5508.76,5842.71,286275000
000300.SH,2021/2/3 13:35,5508.89,5508.89,5498.57,5499.85,6839.37,322186900
000300.SH,2021/2/3 13:40,5499.78,5502.76,5497.93,5502.76,5167.52,250657200
000300.SH,2021/2/3 13:45,5502.77,5503.77,5498.16,5503.77,5078.93,238600800
000300.SH,2021/2/3 13:50,5504.23,5514.44,5504.23,5514.2,5061.77,222808400
000300.SH,2021/2/3 13:55,5514.49,5518.19,5510.61,5512.57,4953.3,239737400
000300.SH,2021/2/3 14:00,5512.9,5514.75,5508.18,5508.8,4953.43,230051400
000300.SH,2021/2/3 14:05,5508.76,5508.96,5502.9,5503,5087.98,231334400
000300.SH,2021/2/3 14:10,5502.86,5514.13,5502.5,5514.13,4779.3,222059000
